Chinese Content,Replaced Content,SD Content,SD Prompt,Translated Content
国王带着一位身着华丽长裙、面容美丽但表情骄傲冷漠的新王后走进大厅，新王后手中捧着一面装饰精美的魔镜，镜面泛着奇异的光芒。,国王(character features: 一位中年男子，面容威严，身穿华丽的金色王袍，头戴镶嵌宝石的皇冠，腰间悬挂精致的宝剑，行走时步伐沉稳。)带着一位身着华丽长裙、面容美丽但表情骄傲冷漠的新王后(character features: 一位约四十岁的女子，容貌美丽但略显冷峻，皮肤白皙，留着深棕色卷发，眼睛呈深褐色，身穿黑色与红色相间的锦缎长裙，裙摆点缀金线刺绣，佩戴翡翠项链和耳环，手指戴着多枚戒指，气质高贵却透着一丝傲慢。)走进大厅，新王后(character features: 一位约四十岁的女子，容貌美丽但略显冷峻，皮肤白皙，留着深棕色卷发，眼睛呈深褐色，身穿黑色与红色相间的锦缎长裙，裙摆点缀金线刺绣，佩戴翡翠项链和耳环，手指戴着多枚戒指，气质高贵却透着一丝傲慢。)手中捧着一面装饰精美的魔镜(character features: 一面巨大的银色镜子，边框由黑色大理石制成，雕刻着复杂的花纹，表面光滑如水，能反射出清晰的画面，没有任何外貌特征，但散发出神秘的气息。)，镜面泛着奇异的光芒。,"middle aged king with dignified expression, splendid golden robe, gem encrusted crown, finely crafted sword, steady steps, (beautiful detailed eyes, beautiful detailed lips, extremely detailed face and beard, sharp focus), ultra detailed, realistic, photorealistic, masterpiece, best quality, vivid colors, HDR, studio lighting, dynamic pose, elegant atmosphere,
==BREAK==
(new queen in her forties), pale skin, deep brown curls, dark brown eyes, brocade gown black and red, gold thread embroidery on hem, emerald necklace and earrings, multiple rings, noble yet arrogant aura, (beautiful detailed eyes, beautiful detailed lips, long eyelashes, extremely detailed face), magnificent enchanted mirror, large silver mirror with black marble frame, intricate carvings, smooth surface shimmering with strange light, mysterious aura, held in hands, ultra fine painting, sharp focus, physically based rendering, professional, UHD, 4k resolution, perfect lighting, detailed background, royal hall setting, grand architecture, aesthetic composition",,"The king, a middle-aged man with a dignified expression, wearing a splendid golden robe and a gem-encrusted crown, with a finely crafted sword hanging from his waist and walking with steady steps, entered the hall accompanied by the new queen. The new queen, a woman in her forties with a beautiful yet stern appearance, pale skin, deep brown curls, and dark brown eyes, was dressed in a brocade gown of black and red, adorned with gold-thread embroidery on the hem, an emerald necklace and earrings, and multiple rings on her fingers, exuding an air of nobility tinged with arrogance. In her hands, she held a magnificent enchanted mirror, a large silver mirror with a frame made of black marble intricately carved with elaborate patterns, its surface smooth as water and capable of reflecting clear images, emitting a mysterious aura as its surface shimmered with strange light."
新王后站在宫殿内，对着魔镜喃喃自语，镜中浮现出模糊的影像，映衬出她那既自负又阴沉的神情。,新王后(character features: 一位约四十岁的女子，容貌美丽但略显冷峻，皮肤白皙，留着深棕色卷发，眼睛呈深褐色，身穿黑色与红色相间的锦缎长裙，裙摆点缀金线刺绣，佩戴翡翠项链和耳环，手指戴着多枚戒指，气质高贵却透着一丝傲慢。)站在宫殿内，对着魔镜(character features: 一面巨大的银色镜子，边框由黑色大理石制成，雕刻着复杂的花纹，表面光滑如水，能反射出清晰的画面，没有任何外貌特征，但散发出神秘的气息。)喃喃自语，镜中浮现出模糊的影像，映衬出她那既自负又阴沉的神情。,"a beautiful detailed woman, pale skin, deep brown curls, dark brown eyes exuding mystery, striking beauty with a stern demeanor, luxurious black and red brocade gown, intricate gold-thread embroidery, jade necklace matching earrings, multiple rings on fingers, noble posture with a hint of arrogance, standing inside a grand palace, (beautiful detailed face:1.4), (detailed hands with rings:1.3),
==BREAK==
magical mirror, towering silver surface, black marble frame intricately carved with elaborate patterns, smooth water-like texture reflecting vivid images, clarity in reflection, showing faint visions of complex emotions, prideful yet somber expressions,
dynamic scene, elegant lighting, rich details, (masterpiece:1.4, best quality), ultra-detailed, realistic photorealistic photo-realistic, sharp focus, HDR UHD, vivid colors, professional studio lighting, extreme detail description",,"The new queen, a woman of about forty with striking beauty yet a somewhat stern demeanor, stood inside the grand palace. Her pale skin contrasted elegantly with her deep brown curls, and her dark brown eyes exuded an air of mystery. She wore a luxurious gown made of black and red brocade, adorned with intricate gold-thread embroidery along the hem. Around her neck hung a jade necklace that matched her earrings, while multiple rings decorated her fingers. Her presence radiated nobility, tinged with a subtle hint of arrogance. Before her stood the magical mirror, a towering silver surface encased in a frame of black marble intricately carved with elaborate patterns. Its smooth, water-like texture reflected vivid images with clarity. As she murmured softly to herself, faint visions began to emerge within the mirror's depths, reflecting her complex expression—part prideful, part somber."
王后站在魔镜前，神情专注地等待着魔镜的回答。,新王后(character features: 一位约四十岁的女子，容貌美丽但略显冷峻，皮肤白皙，留着深棕色卷发，眼睛呈深褐色，身穿黑色与红色相间的锦缎长裙，裙摆点缀金线刺绣，佩戴翡翠项链和耳环，手指戴着多枚戒指，气质高贵却透着一丝傲慢。)站在魔镜(character features: 一面巨大的银色镜子，边框由黑色大理石制成，雕刻着复杂的花纹，表面光滑如水，能反射出清晰的画面，没有任何外貌特征，但散发出神秘的气息。)前，神情专注地等待着魔镜(character features: 一面巨大的银色镜子，边框由黑色大理石制成，雕刻着复杂的花纹，表面光滑如水，能反射出清晰的画面，没有任何外貌特征，但散发出神秘的气息。)的回答。,"queen, woman of about forty, striking beauty with slightly stern demeanor, pale skin glimmering under soft light, deep brown curls cascading over shoulders, dark brown eyes exuding authority, beautiful detailed eyes, beautiful detailed lips, long eyelashes, (long gown of black and red brocade:1.2), embroidered with intricate golden patterns along the hem, emerald necklace and earrings accentuating regal bearing, multiple rings on fingers adding majestic presence, BREAK, enchanted mirror, towering silver surface framed in polished black marble, elaborate carvings of mystical designs around border, smooth water like reflection shimmering faintly, awaiting moment to reveal answer, studio lighting, sharp focus, extreme detail description, professional, vivid colors, bokeh, physically based rendering, best quality 4k 8k highres masterpiece ultra detailed realistic photorealistic photo realistic HDR UHD ultra fine painting perfect lighting detailed background",,"The new queen, a woman of about forty with striking beauty yet a slightly stern demeanor, stood before the enchanted mirror. Her pale skin glimmered under the soft light, her deep brown curls cascaded gracefully over her shoulders, and her dark brown eyes exuded an air of authority. She wore a long gown of black and red brocade, embroidered with intricate golden patterns along the hem, complemented by an emerald necklace and earrings that accentuated her regal bearing. On her fingers were multiple rings, adding to her majestic but somewhat haughty presence. The mirror, a towering silver surface framed in polished black marble, bore elaborate carvings of mystical designs around its border. Its smooth, water-like reflection shimmered faintly as it awaited the moment to reveal its answer. The queen's gaze was fixed intently upon the mirror, awaiting its response with quiet anticipation."
魔镜的表面泛起奇异的光芒，显示出白雪公主比王后美丽的画面。,魔镜(character features: 一面巨大的银色镜子，边框由黑色大理石制成，雕刻着复杂的花纹，表面光滑如水，能反射出清晰的画面，没有任何外貌特征，但散发出神秘的气息。)的表面泛起奇异的光芒，显示出白雪公主（成年）(character features: 一位十五六岁的少女，皮肤依旧如雪般洁白，双颊红润，黑色长发披散至腰间，身穿浅蓝色的丝质长裙，裙子上有精致的蕾丝装饰，脚穿银色高跟鞋，神态温柔而端庄。)比新王后(character features: 一位约四十岁的女子，容貌美丽但略显冷峻，皮肤白皙，留着深棕色卷发，眼睛呈深褐色，身穿黑色与红色相间的锦缎长裙，裙摆点缀金线刺绣，佩戴翡翠项链和耳环，手指戴着多枚戒指，气质高贵却透着一丝傲慢。)美丽的画面。,"massive silver mirror, black marble frame intricately carved with complex patterns, smooth as water, emitting unusual glow, revealing image of Snow White, gentle and dignified teenage girl around fifteen or sixteen years old, skin as white as snow, rosy cheeks, long black hair flowing down to waist, wearing light blue silk dress adorned with delicate lace, silver high heels on feet, beautiful detailed eyes, beautiful detailed lips, extremely detailed face, long eyelashes,
==BREAK==
(new Queen), woman in her forties, beautiful but somewhat stern appearance, pale skin, deep brown curly hair, dark brown eyes, dressed in black and red brocade gown embroidered with gold thread at hem, wearing emerald necklace and earrings, multiple rings on fingers, exuding air of nobility tinged with arrogance, (masterpiece:1.4, best quality), ultra-detailed, realistic, photorealistic, HDR, vivid colors, sharp focus, studio lighting, physically-based rendering, 8k resolution",,"The surface of the Magic Mirror, a massive silver mirror with a black marble frame intricately carved with complex patterns and as smooth as water, emitted an unusual glow, revealing a clear image of Snow White (now an adult), a gentle and dignified teenage girl around fifteen or sixteen years old, with skin as white as snow, rosy cheeks, long black hair flowing down to her waist, and wearing a light blue silk dress adorned with delicate lace, silver high heels on her feet, while also showing that she was more beautiful than the new Queen, a woman in her forties with a beautiful but somewhat stern appearance, pale skin, deep brown curly hair, dark brown eyes, dressed in a black and red brocade gown embroidered with gold thread at the hem, wearing an emerald necklace and earrings, and multiple rings on her fingers, exuding an air of nobility tinged with arrogance."
新王后面容扭曲，眼中充满愤怒，双手紧握成拳。,新王后(character features: 一位约四十岁的女子，容貌美丽但略显冷峻，皮肤白皙，留着深棕色卷发，眼睛呈深褐色，身穿黑色与红色相间的锦缎长裙，裙摆点缀金线刺绣，佩戴翡翠项链和耳环，手指戴着多枚戒指，气质高贵却透着一丝傲慢。)面容扭曲，眼中充满愤怒，双手紧握成拳。,"a woman, about forty years old, striking beauty with a stern expression, pale skin, deep brown curls, dark brown eyes blazing with fury, long brocade gown in black and red, golden thread embroidery on the hem, emerald necklace and earrings, fingers adorned with several rings, noble and arrogant aura, face contorted with rage, hands clenched into tight fists, beautiful detailed eyes, sharp facial features, long eyelashes, ultra-detailed, (realistic, photorealistic:1.37), studio lighting, vivid colors, HDR, UHD, sharp focus, professional, (masterpiece:1.2), best quality, 4k, 8k, highres",,"The new queen, a woman of about forty with striking beauty yet a somewhat stern expression, pale skin, deep brown curls, and dark brown eyes, was dressed in a long brocade gown of black and red, adorned with golden thread embroidery on the hem. She wore an emerald necklace and earrings, and her fingers were decorated with several rings, exuding an air of nobility tinged with arrogance. Her face was contorted with rage, her eyes blazing with fury, and her hands clenched tightly into fists."
宫廷内，王后威严地向武士下达命令，她的表情冷酷而决绝，手指向远方示意武士离开。,宫廷内，新王后(character features: 一位约四十岁的女子，容貌美丽但略显冷峻，皮肤白皙，留着深棕色卷发，眼睛呈深褐色，身穿黑色与红色相间的锦缎长裙，裙摆点缀金线刺绣，佩戴翡翠项链和耳环，手指戴着多枚戒指，气质高贵却透着一丝傲慢。)威严地向武士(character features: 一位壮年男子，约三十五岁，身材魁梧，留着短发，肤色黝黑，身穿铁灰色铠甲，腰间佩带一把锋利的长剑，脚穿厚重的皮靴，神情严肃且忠诚。)下达命令，她的表情冷酷而决绝，手指向远方示意武士(character features: 一位壮年男子，约三十五岁，身材魁梧，留着短发，肤色黝黑，身穿铁灰色铠甲，腰间佩带一把锋利的长剑，脚穿厚重的皮靴，神情严肃且忠诚。)离开。,"palace interior, grand hall with marble floors and high ceilings, intricate chandeliers, (1woman:40years old), striking beauty, pale skin, deep brown curled hair, dark brown eyes, (black and red brocade gown:1.3) embroidered with golden threads, emerald necklace and earrings, adorned with multiple rings, noble posture, cold and resolute expression, pointing toward distance, (masterpiece:1.4, best quality), ultra detailed, vivid colors, sharp focus, realistic, HDR, studio lighting, UHD,
==BREAK==
(queen in center), (warrior on right side), tall muscular man, 35years old, short hair, dark skin, (iron gray armor:1.3), sharp longsword at waist, heavy leather boots, serious and loyal expression, ready to obey command, physically-based rendering, extreme detail description, professional, bokeh, dynamic composition, dramatic lighting",,"Within the palace, the new queen, a woman of about forty with striking beauty yet a somewhat stern demeanor, pale skin, deep brown curled hair, dark brown eyes, and adorned in a black-and-red brocade gown embroidered with golden threads at the hem, wearing an emerald necklace and earrings, and sporting several rings on her fingers, exuded an air of nobility tinged with arrogance. She issued a command to the warrior, a middle-aged man around thirty-five, who was tall and muscular, with short hair, dark skin, clad in iron-gray armor, carrying a sharp longsword at his waist, and wearing heavy leather boots, his expression serious and loyal. Her face was cold and resolute as she pointed toward the distance, indicating that the warrior should depart."
森林中，武士抽出刀对准白雪公主，但看到公主正在采花，纯洁善良的模样让他停下了动作，他的脸上露出挣扎与不忍的神情。,森林中，武士(character features: 一位壮年男子，约三十五岁，身材魁梧，留着短发，肤色黝黑，身穿铁灰色铠甲，腰间佩带一把锋利的长剑，脚穿厚重的皮靴，神情严肃且忠诚。)抽出刀对准白雪公主（成年）(character features: 一位十五六岁的少女，皮肤依旧如雪般洁白，双颊红润，黑色长发披散至腰间，身穿浅蓝色的丝质长裙，裙子上有精致的蕾丝装饰，脚穿银色高跟鞋，神态温柔而端庄。)，但看到白雪公主（成年）(character features: 一位十五六岁的少女，皮肤依旧如雪般洁白，双颊红润，黑色长发披散至腰间，身穿浅蓝色的丝质长裙，裙子上有精致的蕾丝装饰，脚穿银色高跟鞋，神态温柔而端庄。)正在采花，纯洁善良的模样让他停下了动作，他的脸上露出挣扎与不忍的神情。,"middle aged samurai, robust physique, short hair, dark complexion, iron gray armor, heavy leather boots, stern serious expression, unwavering loyalty, detailed face, extremely detailed eyes and face, long eyelashes, beautiful detailed eyes, beautiful detailed lips, sharp long sword, BREAK, (samurai, left side, pointing sword), BREAK, Snow White, young woman, skin white as snow, rosy cheeks, black flowing hair, light blue silk dress, intricate lace, silver high heels, gentle demeanor, dignified presence, delicate hands picking flowers, pure kind nature, BREAK, (Snow White, right side, flower picking pose), forest background, sunlight filtering through trees, lush greenery, vibrant colors, vivid details, ultra fine painting, sharp focus, extreme detail description, professional, realistic photorealistic photo realistic 1 37, masterpiece best quality 4k 8k highres 1 2, perfect lighting, dynamic scene, emotionally charged atmosphere",,"In the depths of the forest, a middle-aged samurai, approximately thirty-five years old, with a robust physique, short hair, dark complexion, and clad in iron-gray armor, stood firm. At his side hung a sharp long sword, and he wore heavy leather boots that echoed with every step. His expression was one of stern seriousness and unwavering loyalty. Before him stood Snow White, a young woman of about fifteen or sixteen, whose skin remained as white as snow, her cheeks rosy, and her black hair flowing down to her waist. She wore a light blue silk dress adorned with intricate lace, and on her feet were silver high heels. Her demeanor exuded gentleness and dignity.

The samurai drew his sword, pointing it toward Snow White, but as he observed her delicately picking flowers, her pure and kind nature became evident. This sight caused him to hesitate, his arm faltering. A look of inner conflict and reluctance spread across his face, revealing the turmoil within his heart as he wrestled with his duty and his newfound sympathy for the innocent girl before him."
武士宰杀了一头猪，取下心和舌头放入容器中，随后他转身朝皇宫方向走去，背影坚定。,武士(character features: 一位壮年男子，约三十五岁，身材魁梧，留着短发，肤色黝黑，身穿铁灰色铠甲，腰间佩带一把锋利的长剑，脚穿厚重的皮靴，神情严肃且忠诚。)宰杀了一头猪，取下心和舌头放入容器中，随后他转身朝皇宫方向走去，背影坚定。,"middle aged warrior, robust physique, short hair, dark skin, iron gray armor, sharp long sword, heavy leather boots, butchering a pig, removing heart and tongue, placing into a container, stern loyal expression, walking resolutely toward the palace, determined figure growing smaller in distance, (beautiful detailed eyes, beautiful detailed face, strong jawline, long eyelashes), ancient medieval setting, stone paved ground, dimly lit by torches, ultra detailed, (best quality,4k,8k,highres,masterpiece:1.2), realistic photorealistic, vivid colors, sharp focus, HDR lighting, professional composition, dynamic scene, dramatic atmosphere, physically based rendering",,"The warrior, a middle-aged man of about thirty-five with a robust physique, short hair, dark skin, and clad in iron-gray armor with a sharp long sword at his waist and heavy leather boots on his feet, butchered a pig, carefully removing its heart and tongue and placing them into a container. With a stern and loyal expression, he then turned and walked resolutely toward the palace, his determined figure growing smaller in the distance."
白雪公主听到猫头鹰叫声，走在阴森的森林中，表情惊恐。突然，她看到一栋小木屋，脸上露出又惊又喜的神情。,白雪公主（成年）(character features: 一位十五六岁的少女，皮肤依旧如雪般洁白，双颊红润，黑色长发披散至腰间，身穿浅蓝色的丝质长裙，裙子上有精致的蕾丝装饰，脚穿银色高跟鞋，神态温柔而端庄。)听到猫头鹰叫声，走在阴森的森林中，表情惊恐。突然，她看到一栋小木屋，脸上露出又惊又喜的神情。,"(fifteen or sixteen year old girl), (skin as white as snow), (rosy cheeks), (black hair flowing down to waist), (light blue silk dress with delicate lace), (silver high heels), (gentle and dignified demeanor), (beautiful detailed eyes), (long eyelashes), (delicate facial features), walking, dark eerie forest, fear on face, hearing owl hoot, small wooden cabin in distance, expression of surprise and joy, (masterpiece:1.2), (best quality,4k,8k,highres:1.3), ultra-detailed, realistic, photorealistic, sharp focus, vivid colors, HDR, studio lighting, deep shadows, lush foliage background, dramatic contrast, cinematic style",,"The adult Snow White (a girl of fifteen or sixteen with skin as white as snow, rosy cheeks, black hair that flowed down to her waist, and dressed in a light blue silk dress adorned with delicate lace, wearing silver high heels, exuding a gentle and dignified demeanor) was walking through a dark and eerie forest, her face filled with fear upon hearing the hoot of an owl. Suddenly, she spotted a small wooden cabin, and her face lit up with an expression of both surprise and joy."
白雪公主进入小木屋，看到整齐排列的七张小床，疲惫的她躺在上面睡着了。,白雪公主（成年）(character features: 一位十五六岁的少女，皮肤依旧如雪般洁白，双颊红润，黑色长发披散至腰间，身穿浅蓝色的丝质长裙，裙子上有精致的蕾丝装饰，脚穿银色高跟鞋，神态温柔而端庄。)进入小木屋，看到整齐排列的七张小床，疲惫的她躺在上面睡着了。,"a beautiful girl with snow white skin, rosy cheeks, long black hair reaching her waist, gentle and dignified expression, detailed eyes, beautiful lips, long eyelashes, light blue silk dress with delicate lace decorations, silver high heels, lying on a small bed in a wooden house, tired expression, soft lighting, ultra-detailed, (masterpiece:1.2, best quality), realistic photorealistic, vivid colors, sharp focus, HDR, UHD, professional, dynamic composition, group of seven small beds, cozy interior, warm color tone, (realistic,photorealistic:1.37)
==BREAK==
(snow white character, centered), (wooden house interior:1.3), (delicate lace details:1.4)",,"Snow White (adult), a girl of fifteen or sixteen years old, entered the small wooden house. Her skin remained as white as snow, her cheeks were rosy, and her long black hair fell gracefully to her waist. She wore a light blue silk dress adorned with delicate lace decorations, and on her feet were silver high heels. Her demeanor was gentle and dignified. Upon entering, she saw seven small beds neatly arranged in the room. Exhausted from her journey, she lay down on one of the beds and soon fell into a deep sleep."
傍晚，七个小矮人扛着锄头回来，看到白雪公主睡在他们的床上，小矮人们露出疑惑的表情。,傍晚，七个小矮人(character features: 七位身材矮小的男子，年龄各异，从二十岁到五十岁不等，留着各式胡须和发型，皮肤粗糙，穿着简单的工作服，颜色分别为深蓝、绿色、棕色、灰色、橙色、紫色和红色，脚穿结实的皮靴，每个人都有独特的神态和动作。)扛着锄头回来，看到白雪公主（成年）(character features: 一位十五六岁的少女，皮肤依旧如雪般洁白，双颊红润，黑色长发披散至腰间，身穿浅蓝色的丝质长裙，裙子上有精致的蕾丝装饰，脚穿银色高跟鞋，神态温柔而端庄。)睡在他们的床上，小矮人们露出疑惑的表情。,"seven dwarfs, short men of varying ages with rough skin and different beards hairstyles, wearing simple work clothes in deep blue green brown gray orange purple red respectively, sturdy leather boots, each holding shovels on their shoulders, unique expressions and postures, evening lighting, dynamic scene, (masterpiece:1.4, best quality), ultra detailed, realistic, vivid colors, sharp focus, HDR,
==BREAK==
(Snow White), young girl about fifteen or sixteen years old, skin as white as snow, rosy cheeks, long black hair reaching waist, light blue silk dress with delicate lace decorations, silver high heels, lying asleep on beds, gentle and dignified aura, beautiful detailed eyes, beautiful detailed lips, extremely detailed face, long eyelashes,
==BREAK==
dwarfs expressing confusion, group of seven in foreground, girl in background, cozy wooden house interior, warm tones, professional photography style, studio lighting, extreme detail description, UHD, 8k resolution",,"In the evening, seven dwarfs returned home with their shovels on their shoulders. These seven dwarfs were short men of varying ages, ranging from twenty to fifty years old. They had different types of beards and hairstyles, rough skin, and wore simple work clothes in deep blue, green, brown, gray, orange, purple, and red respectively. On their feet were sturdy leather boots, and each of them had a unique expression and posture. When they entered their house, they saw Snow White, a young girl of about fifteen or sixteen years old. She had skin as white as snow, rosy cheeks, long black hair that reached down to her waist, and was dressed in a light blue silk dress adorned with delicate lace decorations. Her silver high heels complemented her attire perfectly, and she exuded an aura of gentleness and dignity as she lay asleep on their beds. The sight of her caused the dwarfs to express confusion on their faces."
新王后站在魔镜前，魔镜的表面映出文字回答，显示白雪公主在森林中和七个小矮人过着快乐幸福的生活。,新王后(character features: 一位约四十岁的女子，容貌美丽但略显冷峻，皮肤白皙，留着深棕色卷发，眼睛呈深褐色，身穿黑色与红色相间的锦缎长裙，裙摆点缀金线刺绣，佩戴翡翠项链和耳环，手指戴着多枚戒指，气质高贵却透着一丝傲慢。)站在魔镜(character features: 一面巨大的银色镜子，边框由黑色大理石制成，雕刻着复杂的花纹，表面光滑如水，能反射出清晰的画面，没有任何外貌特征，但散发出神秘的气息。)前，魔镜(character features: 一面巨大的银色镜子，边框由黑色大理石制成，雕刻着复杂的花纹，表面光滑如水，能反射出清晰的画面，没有任何外貌特征，但散发出神秘的气息。)的表面映出文字回答，显示白雪公主（成年）(character features: 一位十五六岁的少女，皮肤依旧如雪般洁白，双颊红润，黑色长发披散至腰间，身穿浅蓝色的丝质长裙，裙子上有精致的蕾丝装饰，脚穿银色高跟鞋，神态温柔而端庄。)在森林中和七个小矮人(character features: 七位身材矮小的男子，年龄各异，从二十岁到五十岁不等，留着各式胡须和发型，皮肤粗糙，穿着简单的工作服，颜色分别为深蓝、绿色、棕色、灰色、橙色、紫色和红色，脚穿结实的皮靴，每个人都有独特的神态和动作。)过着快乐幸福的生活。,"queen,break,(woman about forty),striking beauty,detailed face,slightly stern demeanor,pale skin,deep brown curls,dark eyes,authority aura,long black red brocade gown,gold thread embroidery,jade necklace,matching earrings,multiple rings,regal presence,break,magic mirror,silver surface,black marble frame,intricate carvings,smooth reflection,mysterious aura,break,snow white,break,(young woman fifteen sixteen),porcelain complexion,rosy cheeks,long black hair,light blue silk dress,lace embellishment,silver high heels,graceful elegance,break,seven dwarfs,break,(group of seven),short men,varying ages,twenties to fifties,distinct facial hair,rough skin,simple work attire,deep colors sturdy boots,unique expressions,gestures,harmonious forest scene,break,dynamic composition,rich details,break,(best quality,4k,8k,highres,masterpiece:1.2),ultra detailed,realistic photorealistic HDR UHD studio lighting sharp focus extreme detail vivid colors bokeh physically based rendering",,"The new queen, a woman of about forty with striking beauty yet a slightly stern demeanor, stood before the Magic Mirror. Her pale skin glimmered under the light, her deep brown curls framed her face elegantly, and her dark eyes exuded an air of authority. She wore a long gown made of black and red brocade, adorned with intricate gold-thread embroidery at the hem. Around her neck rested a jade necklace, matching earrings dangled from her ears, and multiple rings decorated her fingers, all contributing to her regal but somewhat arrogant presence.

Before her loomed the Magic Mirror, a towering silver surface encased in a frame of polished black marble. The frame was intricately carved with elaborate patterns, while the mirror's surface remained smooth as water, reflecting images with perfect clarity. Though it possessed no discernible physical features, it emanated an aura of profound mystery.

As the queen gazed into the mirror, words began to form on its shimmering surface, revealing an answer to her unspoken question. It depicted Snow White, now a young woman of fifteen or sixteen, living joyfully in the forest alongside the Seven Dwarfs. Snow White’s porcelain-like complexion contrasted beautifully with her rosy cheeks, and her long black hair cascaded down to her waist. She wore a delicate light-blue silk dress embellished with lace, paired with silver high heels, embodying grace and elegance in every movement.

In the reflection, the Seven Dwarfs appeared as well—seven short men of varying ages, ranging from their twenties to fifties. Each had distinct facial hair and hairstyles, rough-hewn skin, and simple work attire in deep hues of blue, green, brown, gray, orange, purple, and red. Their sturdy boots grounded them firmly in the scene, and each dwarf displayed unique expressions and gestures, bringing life to their harmonious existence in the forest."
王后打扮成老太婆的模样，提着一篮鲜红的苹果，苹果上涂着她调配的毒药，来到小矮人的小木屋前。,新王后(character features: 一位约四十岁的女子，容貌美丽但略显冷峻，皮肤白皙，留着深棕色卷发，眼睛呈深褐色，身穿黑色与红色相间的锦缎长裙，裙摆点缀金线刺绣，佩戴翡翠项链和耳环，手指戴着多枚戒指，气质高贵却透着一丝傲慢。)打扮成老太婆的模样，提着一篮鲜红的苹果，苹果上涂着她调配的毒药，来到小矮人的小木屋前。,"a beautiful detailed woman with pale skin, deep brown curly hair, dark brown eyes, long eyelashes, and a stern expression, wearing a long black and red brocade gown embroidered with golden threads at the hem, adorned with an emerald necklace and earrings, several rings on her fingers, carrying a basket of bright red apples coated with poison, approaching the front of a wooden dwarfs cottage, surrounded by a forest background with lush greenery and sunlight filtering through trees, (masterpiece:1.4, best quality), ultra-detailed, realistic, photo-realistic, sharp focus, vivid colors, HDR, studio lighting, physically-based rendering, UHD, 8k, highres, dark yet elegant atmosphere, gothic fairy tale style, rich textures, deep shadows, dramatic lighting",,"The new queen, a woman of about forty with striking beauty yet a somewhat stern demeanor, pale skin, deep brown curly hair, dark brown eyes, and an air of nobility tinged with arrogance, dressed herself as an old woman. Wearing a long gown made of black and red brocade embroidered with golden threads at the hem, adorned with an emerald necklace and earrings, and sporting several rings on her fingers, she carried a basket of bright red apples coated with poison that she had concocted herself, approaching the front of the dwarfs' cottage."
白雪公主倒在地上，手中还拿着那个被咬了一口的毒苹果，坏心的王后在一旁大笑着。,白雪公主（成年）(character features: 一位十五六岁的少女，皮肤依旧如雪般洁白，双颊红润，黑色长发披散至腰间，身穿浅蓝色的丝质长裙，裙子上有精致的蕾丝装饰，脚穿银色高跟鞋，神态温柔而端庄。)倒在地上，手中还拿着那个被咬了一口的毒苹果，坏心的新王后(character features: 一位约四十岁的女子，容貌美丽但略显冷峻，皮肤白皙，留着深棕色卷发，眼睛呈深褐色，身穿黑色与红色相间的锦缎长裙，裙摆点缀金线刺绣，佩戴翡翠项链和耳环，手指戴着多枚戒指，气质高贵却透着一丝傲慢。)在一旁大笑着。,"young woman, fifteen or sixteen years old, pale white skin, rosy cheeks, long black hair cascading to waist, light blue silk dress with intricate lace, silver high heels, clutched poisoned apple half eaten, lying sprawled on ground, beautiful detailed eyes, beautiful detailed lips, extremely detailed face, long eyelashes,  
==BREAK==  
(new queen), woman in forties, striking yet severe beauty, pale skin framed by deep brown curls, dark brown eyes glinting with malice, gown of black and red brocade embroidered with golden threads, emerald necklace and earrings, fingers bedecked with numerous rings, standing nearby, laughing loudly, noble demeanor with unmistakable arrogance, (center right side),  
detailed background, forest clearing with grass and flowers, soft natural lighting, cinematic composition, (masterpiece:1.4, best quality), ultra-detailed, realistic photorealistic photo-realistic, vivid colors, sharp focus, HDR, UHD, studio lighting, extreme detail description, professional",,"The young woman, about fifteen or sixteen years old, lay sprawled on the ground, her skin still as white as snow, her rosy cheeks contrasting with her long black hair that cascaded down to her waist. She wore a light blue silk dress adorned with intricate lace decorations, and on her feet were silver high heels. In her hand, she clutched the poisoned apple, half-eaten. Nearby, the new queen, a woman in her forties with striking yet severe beauty, stood laughing loudly. Her pale skin was framed by deep brown curls, and her dark brown eyes glinted with malice. Clad in a gown of black and red brocade embroidered with golden threads, she wore an emerald necklace and earrings, her fingers bedecked with numerous rings. Her demeanor exuded nobility, but it was tinged with unmistakable arrogance."
