Chinese Content,Replaced Content,SD Content,SD Prompt
魔镜的表面泛起奇异的光芒，显示出白雪公主比王后美丽的画面。,魔镜的表面泛起奇异的光芒，显示出白雪公主（成年）比新王后美丽的画面。,,
新王后面容扭曲，眼中充满愤怒，双手紧握成拳。,新王后面容扭曲，眼中充满愤怒，双手紧握成拳。,,
宫廷内，王后威严地向武士下达命令，她的表情冷酷而决绝，手指向远方示意武士离开。,宫廷内，新王后威严地向武士下达命令，她的表情冷酷而决绝，手指向远方示意武士离开。,,
森林中，武士抽出刀对准白雪公主，但看到公主正在采花，纯洁善良的模样让他停下了动作，他的脸上露出挣扎与不忍的神情。,森林中，武士抽出刀对准白雪公主（成年），但看到白雪公主（成年）正在采花，纯洁善良的模样让他停下了动作，他的脸上露出挣扎与不忍的神情。,,
武士宰杀了一头猪，取下心和舌头放入容器中，随后他转身朝皇宫方向走去，背影坚定。,武士宰杀了一头猪，取下心和舌头放入容器中，随后他转身朝皇宫方向走去，背影坚定。,,
白雪公主听到猫头鹰叫声，走在阴森的森林中，表情惊恐。突然，她看到一栋小木屋，脸上露出又惊又喜的神情。,白雪公主（成年）听到猫头鹰叫声，走在阴森的森林中，表情惊恐。突然，她看到一栋小木屋，脸上露出又惊又喜的神情。,,
白雪公主进入小木屋，看到整齐排列的七张小床，疲惫的她躺在上面睡着了。,白雪公主（成年）进入小木屋，看到整齐排列的七张小床，疲惫的她躺在上面睡着了。,,
傍晚，七个小矮人扛着锄头回来，看到白雪公主睡在他们的床上，小矮人们露出疑惑的表情。,傍晚，七个小矮人扛着锄头回来，看到白雪公主（成年）睡在他们的床上，小矮人们露出疑惑的表情。,,
新王后站在魔镜前，魔镜的表面映出文字回答，显示白雪公主在森林中和七个小矮人过着快乐幸福的生活。,新王后站在魔镜前，魔镜的表面映出文字回答，显示白雪公主（成年）在森林中和七个小矮人过着快乐幸福的生活。,,
王后打扮成老太婆的模样，提着一篮鲜红的苹果，苹果上涂着她调配的毒药，来到小矮人的小木屋前。,新王后打扮成老太婆的模样，提着一篮鲜红的苹果，苹果上涂着她调配的毒药，来到小矮人的小木屋前。,,
白雪公主倒在地上，手中还拿着那个被咬了一口的毒苹果，坏心的王后在一旁大笑着。,白雪公主（成年）倒在地上，手中还拿着那个被咬了一口的毒苹果，坏心的新王后在一旁大笑着。,,
小矮人们抬着白雪公主放在装满鲜花的玻璃棺材内，周围是哭泣的小矮人和哀伤的小动物们，邻国的王子站在一旁注视着玻璃棺材中的白雪公主。,七个小矮人抬着白雪公主（成年）放在装满鲜花的玻璃棺材内，周围是哭泣的小矮人和哀伤的小动物们，邻国王子站在一旁注视着玻璃棺材中的白雪公主（成年）。,,
王子俯身亲吻躺在玻璃棺材中的白雪公主，白雪公主正吐出苹果，逐渐睁开双眼，脸上恢复了红润。,邻国王子俯身亲吻躺在玻璃棺材中的白雪公主（成年），白雪公主（成年）正吐出苹果，逐渐睁开双眼，脸上恢复了红润。,,
白雪公主苏醒后坐起身来，小矮人们在周围欢呼雀跃，动物们吱吱喳喳地叫着，王子握着白雪公主的双手，面带温柔喜悦的笑容。,白雪公主（成年）苏醒后坐起身来，七个小矮人在周围欢呼雀跃，动物们吱吱喳喳地叫着，邻国王子握着白雪公主（成年）的双手，面带温柔喜悦的笑容。,,
坏心的王后站在宫殿内，面带得意的笑容，她面前悬浮着一面古老的魔镜，镜面中映出她自信而扭曲的面容。,坏心的新王后站在宫殿内，面带得意的笑容，她面前悬浮着一面古老的魔镜，镜面中映出她自信而扭曲的面容。,,
王后骑着魔扫帚，手持魔剑，飞向邻国的途中，天空乌云密布，一道闪电正朝她劈下，她的表情充满惊恐。,新王后骑着魔扫帚，手持魔剑，飞向邻国的途中，天空乌云密布，一道闪电正朝她劈下，她的表情充满惊恐。,,
女巫王后从扫帚上坠落，摔在地上，魔剑掉在一旁，天空中闪电交织，仿佛上天对她的审判已然降临。,新王后从扫帚上坠落，摔在地上，魔剑掉在一旁，天空中闪电交织，仿佛上天对她的审判已然降临。,,
王子的国家张灯结彩，街道上充满欢庆的氛围，到处是庆祝的人群。,邻国王子的国家张灯结彩，街道上充满欢庆的氛围，到处是庆祝的人群。,,
小矮人和森林的动物们站在婚礼现场，周围是盛大的婚礼布置和满怀喜悦的国民。,七个小矮人和森林的动物们站在婚礼现场，周围是盛大的婚礼布置和满怀喜悦的国民。,,
王子与白雪公主身着婚礼礼服，在众人祝福的目光中相视而立。,邻国王子与白雪公主（成年）身着婚礼礼服，在众人祝福的目光中相视而立。,,
